dataset,year,method,rho,AS
PHY,2010,B0,0.1,0.170000
PHY,2010,B0,0.2,0.392750
PHY,2010,B0,0.3,0.597750
PHY,2010,B0,0.4,0.764250
PHY,2010,B0,0.5,0.841750
PHY,2010,B0,0.6,0.950000
PHY,2010,B0,0.7,0.969250
PHY,2010,B0,0.8,1.000000
PHY,2010,B0,0.9,1.000000
PHY,2010,B1,0.1,0.214612
PHY,2010,B1,0.2,0.485177
PHY,2010,B1,0.3,0.673250
PHY,2010,B1,0.4,0.777861
PHY,2010,B1,0.5,0.830678
PHY,2010,B1,0.6,0.858906
PHY,2010,B1,0.7,0.894318
PHY,2010,B1,0.8,0.971181
PHY,2010,B1,0.9,1.000000
PHY,2010,S1,0.1,0.214612
PHY,2010,S1,0.2,0.485177
PHY,2010,S1,0.3,0.673250
PHY,2010,S1,0.4,0.801250
PHY,2010,S1,0.5,0.848000
PHY,2010,S1,0.6,0.878000
PHY,2010,S1,0.7,0.893000
PHY,2010,S1,0.8,0.991000
PHY,2010,S1,0.9,1.000000
PHY,2010,S2,0.1,0.159000
PHY,2010,S2,0.2,0.330471
PHY,2010,S2,0.3,0.588138
PHY,2010,S2,0.4,0.797557
PHY,2010,S2,0.5,0.887263
PHY,2010,S2,0.6,0.918250
PHY,2010,S2,0.7,0.949918
PHY,2010,S2,0.8,0.979824
PHY,2010,S2,0.9,1.000000
PHY,2010,M2,0.1,0.195559
PHY,2010,M2,0.2,0.446203
PHY,2010,M2,0.3,0.657977
PHY,2010,M2,0.4,0.750290
PHY,2010,M2,0.5,0.800726
PHY,2010,M2,0.6,0.862796
PHY,2010,M2,0.7,0.889500
PHY,2010,M2,0.8,0.952500
PHY,2010,M2,0.9,1.000000
PHY,2010,M3,0.1,0.131779
PHY,2010,M3,0.2,0.413537
PHY,2010,M3,0.3,0.652421
PHY,2010,M3,0.4,0.791250
PHY,2010,M3,0.5,0.886000
PHY,2010,M3,0.6,0.923160
PHY,2010,M3,0.7,0.955110
PHY,2010,M3,0.8,0.982500
PHY,2010,M3,0.9,1.000000
PHY,2010,RANDOM,0.1,0.141787
PHY,2010,RANDOM,0.2,0.331130
PHY,2010,RANDOM,0.3,0.489991
PHY,2010,RANDOM,0.4,0.638779
PHY,2010,RANDOM,0.5,0.759030
PHY,2010,RANDOM,0.6,0.831383
PHY,2010,RANDOM,0.7,0.918384
PHY,2010,RANDOM,0.8,0.967358
PHY,2010,RANDOM,0.9,0.991721
PHY,2010,RANDOM_ALL_COMPULSORY,0.1,0.077771
PHY,2010,RANDOM_ALL_COMPULSORY,0.2,0.185876
PHY,2010,RANDOM_ALL_COMPULSORY,0.3,0.288257
PHY,2010,RANDOM_ALL_COMPULSORY,0.4,0.396676
PHY,2010,RANDOM_ALL_COMPULSORY,0.5,0.498422
PHY,2010,RANDOM_ALL_COMPULSORY,0.6,0.575977
PHY,2010,RANDOM_ALL_COMPULSORY,0.7,0.691490
PHY,2010,RANDOM_ALL_COMPULSORY,0.8,0.792384
PHY,2010,RANDOM_ALL_COMPULSORY,0.9,0.892161
PHY,2010,NESTED_TIMING,0.1,0.214612
PHY,2010,NESTED_TIMING,0.2,0.485177
PHY,2010,NESTED_TIMING,0.3,0.673250
PHY,2010,NESTED_TIMING,0.4,0.801250
PHY,2010,NESTED_TIMING,0.5,0.848000
PHY,2010,NESTED_TIMING,0.6,0.878000
PHY,2010,NESTED_TIMING,0.7,0.893000
PHY,2010,NESTED_TIMING,0.8,0.991000
PHY,2010,NESTED_TIMING,0.9,1.000000
PHY,2011,B0,0.1,0.017500
PHY,2011,B0,0.2,0.294500
PHY,2011,B0,0.3,0.517500
PHY,2011,B0,0.4,0.664000
PHY,2011,B0,0.5,0.699000
PHY,2011,B0,0.6,0.795000
PHY,2011,B0,0.7,0.838000
PHY,2011,B0,0.8,0.908000
PHY,2011,B0,0.9,1.000000
PHY,2011,B1,0.1,0.183512
PHY,2011,B1,0.2,0.405426
PHY,2011,B1,0.3,0.563250
PHY,2011,B1,0.4,0.691593
PHY,2011,B1,0.5,0.810878
PHY,2011,B1,0.6,0.887738
PHY,2011,B1,0.7,0.943475
PHY,2011,B1,0.8,0.982500
PHY,2011,B1,0.9,1.000000
PHY,2011,S1,0.1,0.183512
PHY,2011,S1,0.2,0.405426
PHY,2011,S1,0.3,0.550500
PHY,2011,S1,0.4,0.717000
PHY,2011,S1,0.5,0.796500
PHY,2011,S1,0.6,0.912500
PHY,2011,S1,0.7,0.965105
PHY,2011,S1,0.8,1.000000
PHY,2011,S1,0.9,1.000000
PHY,2011,S2,0.1,0.169262
PHY,2011,S2,0.2,0.367000
PHY,2011,S2,0.3,0.488123
PHY,2011,S2,0.4,0.676066
PHY,2011,S2,0.5,0.835190
PHY,2011,S2,0.6,0.894218
PHY,2011,S2,0.7,0.948361
PHY,2011,S2,0.8,0.978204
PHY,2011,S2,0.9,1.000000
PHY,2011,M2,0.1,0.191392
PHY,2011,M2,0.2,0.414283
PHY,2011,M2,0.3,0.550500
PHY,2011,M2,0.4,0.647061
PHY,2011,M2,0.5,0.830000
PHY,2011,M2,0.6,0.947500
PHY,2011,M2,0.7,0.987347
PHY,2011,M2,0.8,1.000000
PHY,2011,M2,0.9,1.000000
PHY,2011,M3,0.1,0.214300
PHY,2011,M3,0.2,0.417724
PHY,2011,M3,0.3,0.550500
PHY,2011,M3,0.4,0.714163
PHY,2011,M3,0.5,0.896500
PHY,2011,M3,0.6,0.916216
PHY,2011,M3,0.7,0.947500
PHY,2011,M3,0.8,0.969305
PHY,2011,M3,0.9,1.000000
PHY,2011,RANDOM,0.1,0.142952
PHY,2011,RANDOM,0.2,0.326117
PHY,2011,RANDOM,0.3,0.483818
PHY,2011,RANDOM,0.4,0.618690
PHY,2011,RANDOM,0.5,0.739059
PHY,2011,RANDOM,0.6,0.811342
PHY,2011,RANDOM,0.7,0.901990
PHY,2011,RANDOM,0.8,0.965503
PHY,2011,RANDOM,0.9,0.993895
PHY,2011,RANDOM_ALL_COMPULSORY,0.1,0.078455
PHY,2011,RANDOM_ALL_COMPULSORY,0.2,0.183443
PHY,2011,RANDOM_ALL_COMPULSORY,0.3,0.289890
PHY,2011,RANDOM_ALL_COMPULSORY,0.4,0.395289
