dataset,year,method,rho,AS
PM,2019,B0,0.1,0.113333
PM,2019,B0,0.2,0.151667
PM,2019,B0,0.3,0.236667
PM,2019,B0,0.4,0.314167
PM,2019,B0,0.5,0.407500
PM,2019,B0,0.6,0.610000
PM,2019,B0,0.7,0.705000
PM,2019,B0,0.8,0.743333
PM,2019,B0,0.9,0.803333
PM,2019,B1,0.1,0.103373
PM,2019,B1,0.2,0.261176
PM,2019,B1,0.3,0.364198
PM,2019,B1,0.4,0.520863
PM,2019,B1,0.5,0.624046
PM,2019,B1,0.6,0.772142
PM,2019,B1,0.7,0.858803
PM,2019,B1,0.8,0.964563
PM,2019,B1,0.9,1.000000
PM,2019,S1,0.1,0.103373
PM,2019,S1,0.2,0.261176
PM,2019,S1,0.3,0.364198
PM,2019,S1,0.4,0.520863
PM,2019,S1,0.5,0.624046
PM,2019,S1,0.6,0.771667
PM,2019,S1,0.7,0.852500
PM,2019,S1,0.8,0.951667
PM,2019,S1,0.9,1.000000
PM,2019,S2,0.1,0.045000
PM,2019,S2,0.2,0.095063
PM,2019,S2,0.3,0.202452
PM,2019,S2,0.4,0.358062
PM,2019,S2,0.5,0.460703
PM,2019,S2,0.6,0.616868
PM,2019,S2,0.7,0.722155
PM,2019,S2,0.8,0.859712
PM,2019,S2,0.9,0.946667
PM,2019,M2,0.1,0.054792
PM,2019,M2,0.2,0.213323
PM,2019,M2,0.3,0.315812
PM,2019,M2,0.4,0.468619
PM,2019,M2,0.5,0.571586
PM,2019,M2,0.6,0.726061
PM,2019,M2,0.7,0.781667
PM,2019,M2,0.8,0.892100
PM,2019,M2,0.9,1.000000
PM,2019,M3,0.1,0.093397
PM,2019,M3,0.2,0.253222
PM,2019,M3,0.3,0.356395
PM,2019,M3,0.4,0.512447
PM,2019,M3,0.5,0.615201
PM,2019,M3,0.6,0.771667
PM,2019,M3,0.7,0.858583
PM,2019,M3,0.8,0.950000
PM,2019,M3,0.9,1.000000
PM,2019,RANDOM,0.1,0.076928
PM,2019,RANDOM,0.2,0.202922
PM,2019,RANDOM,0.3,0.281556
PM,2019,RANDOM,0.4,0.394859
PM,2019,RANDOM,0.5,0.481158
PM,2019,RANDOM,0.6,0.601830
PM,2019,RANDOM,0.7,0.682158
PM,2019,RANDOM,0.8,0.799508
PM,2019,RANDOM,0.9,0.879412
PM,2019,RANDOM_ALL_COMPULSORY,0.1,0.076928
PM,2019,RANDOM_ALL_COMPULSORY,0.2,0.202922
PM,2019,RANDOM_ALL_COMPULSORY,0.3,0.281556
PM,2019,RANDOM_ALL_COMPULSORY,0.4,0.394859
PM,2019,RANDOM_ALL_COMPULSORY,0.5,0.481158
PM,2019,RANDOM_ALL_COMPULSORY,0.6,0.601830
PM,2019,RANDOM_ALL_COMPULSORY,0.7,0.682158
PM,2019,RANDOM_ALL_COMPULSORY,0.8,0.799508
PM,2019,RANDOM_ALL_COMPULSORY,0.9,0.879412
PM,2019,NESTED_TIMING,0.1,0.103373
PM,2019,NESTED_TIMING,0.2,0.261176
PM,2019,NESTED_TIMING,0.3,0.364198
PM,2019,NESTED_TIMING,0.4,0.520863
PM,2019,NESTED_TIMING,0.5,0.624046
PM,2019,NESTED_TIMING,0.6,0.772142
PM,2019,NESTED_TIMING,0.7,0.858803
PM,2019,NESTED_TIMING,0.8,0.964563
PM,2019,NESTED_TIMING,0.9,1.000000
PM,2020,B0,0.1,0.011667
PM,2020,B0,0.2,0.135000
PM,2020,B0,0.3,0.216667
PM,2020,B0,0.4,0.290000
PM,2020,B0,0.5,0.348333
PM,2020,B0,0.6,0.413333
PM,2020,B0,0.7,0.530000
PM,2020,B0,0.8,0.689167
PM,2020,B0,0.9,0.845000
PM,2020,B1,0.1,0.099366
PM,2020,B1,0.2,0.248009
PM,2020,B1,0.3,0.345187
PM,2020,B1,0.4,0.493749
PM,2020,B1,0.5,0.595616
PM,2020,B1,0.6,0.743593
PM,2020,B1,0.7,0.840945
PM,2020,B1,0.8,0.946993
PM,2020,B1,0.9,0.988333
PM,2020,S1,0.1,0.099366
PM,2020,S1,0.2,0.248009
PM,2020,S1,0.3,0.345187
PM,2020,S1,0.4,0.493749
PM,2020,S1,0.5,0.595616
PM,2020,S1,0.6,0.730833
PM,2020,S1,0.7,0.840833
PM,2020,S1,0.8,0.923333
PM,2020,S1,0.9,0.988333
PM,2020,S2,0.1,0.100833
PM,2020,S2,0.2,0.120210
PM,2020,S2,0.3,0.174695
PM,2020,S2,0.4,0.324144
PM,2020,S2,0.5,0.423225
PM,2020,S2,0.6,0.571568
PM,2020,S2,0.7,0.670496
PM,2020,S2,0.8,0.820532
PM,2020,S2,0.9,0.917592
PM,2020,M2,0.1,0.099235
PM,2020,M2,0.2,0.247338
PM,2020,M2,0.3,0.343963
PM,2020,M2,0.4,0.492842
PM,2020,M2,0.5,0.592187
PM,2020,M2,0.6,0.740833
PM,2020,M2,0.7,0.842788
PM,2020,M2,0.8,0.958310
PM,2020,M2,0.9,0.988333
PM,2020,M3,0.1,0.095528
PM,2020,M3,0.2,0.244978
