dataset,topic_id,sittings_present,appearance_count,appearance_rate,mean_share,sd_share,longest_gap_sittings,first_year,last_year
AM2,AM2.MOD.01,4,3,0.75,0.0375,0.026517,1,2023,2026
AM2,AM2.NET.01,4,1,0.25,0.0125,0.021651,0,2023,2023
AM2,AM2.NET.02,4,2,0.5,0.01875,0.020729,0,2024,2025
AM2,AM2.NET.03,4,4,1.0,0.065625,0.022317,0,2023,2026
AM2,AM2.NET.04,4,3,0.75,0.03125,0.01875,1,2023,2026
AM2,AM2.NET.05,4,2,0.5,0.046875,0.051822,0,2024,2025
AM2,AM2.NET.06,4,0,0.0,0.0,0.0,4,,
AM2,AM2.NET.07,4,3,0.75,0.09375,0.064651,1,2023,2026
AM2,AM2.KIN.01,4,4,1.0,0.0775,0.020214,0,2023,2026
AM2,AM2.KIN.02,4,4,1.0,0.065625,0.016238,0,2023,2026
AM2,AM2.KIN.03,4,3,0.75,0.025625,0.015848,1,2023,2026
AM2,AM2.KIN.04,4,4,1.0,0.06875,0.033657,0,2023,2026
AM2,AM2.DYN.01,4,3,0.75,0.060938,0.040315,0,2024,2026
AM2,AM2.DYN.02,4,4,1.0,0.063125,0.008409,0,2023,2026
AM2,AM2.DYN.03,4,4,1.0,0.104063,0.021349,0,2023,2026
AM2,AM2.DYN.04,4,1,0.25,0.01125,0.013288,0,2023,2023
AM2,AM2.DYN.05,4,2,0.5,0.029687,0.031054,0,2025,2026
AM2,AM2.DYN.06,4,4,1.0,0.095312,0.032887,0,2023,2026
AM2,AM2.DYN.07,4,0,0.0,0.0,0.0,4,,
AM2,AM2.DIF.01,4,3,0.75,0.029687,0.018758,1,2023,2026
AM2,AM2.DIF.02,4,4,1.0,0.139063,0.014399,0,2023,2026
AM2,AM2.DEQ.01,4,3,0.75,0.01875,0.007181,1,2023,2026
AM2,AM2.DEQ.02,4,4,1.0,0.145,0.060441,0,2023,2026
