dataset,topic_id,sittings_present,appearance_count,appearance_rate,mean_share,sd_share,longest_gap_sittings,first_year,last_year
PHY,PHY.MEC.01,25,23,0.92,0.078336,0.046344,1,2003,2026
PHY,PHY.MEC.02,25,24,0.96,0.071488,0.038732,1,2002,2026
PHY,PHY.MEC.03,25,21,0.84,0.036139,0.026651,1,2002,2026
PHY,PHY.MEC.04,25,21,0.84,0.042165,0.034842,2,2003,2025
PHY,PHY.MEC.05,25,19,0.76,0.045049,0.044098,2,2003,2026
PHY,PHY.MEC.06,25,15,0.6,0.037541,0.045227,2,2002,2026
PHY,PHY.MEC.07,25,23,0.92,0.073272,0.056518,2,2002,2026
PHY,PHY.MEC.08,25,18,0.72,0.030067,0.024497,2,2002,2024
PHY,PHY.TMP.01,25,18,0.72,0.023032,0.018419,2,2002,2025
PHY,PHY.HEA.01,25,25,1.0,0.092582,0.038458,0,2002,2026
PHY,PHY.HEA.02,25,15,0.6,0.020147,0.023491,3,2007,2026
PHY,PHY.WAV.01,25,21,0.84,0.031659,0.024391,2,2002,2025
PHY,PHY.WAV.02,25,18,0.72,0.039222,0.036843,2,2002,2026
PHY,PHY.SND.01,25,21,0.84,0.035362,0.028801,1,2002,2026
PHY,PHY.SND.02,25,22,0.88,0.086132,0.049575,1,2002,2026
PHY,PHY.LIG.01,25,13,0.52,0.034443,0.042005,2,2007,2026
PHY,PHY.LIG.02,25,25,1.0,0.067247,0.045087,0,2002,2026
PHY,PHY.LIG.03,25,15,0.6,0.03422,0.040758,2,2002,2026
PHY,PHY.LIG.04,25,21,0.84,0.071391,0.046396,1,2002,2026
PHY,PHY.LIG.05,25,15,0.6,0.027722,0.030834,2,2006,2025
PHY,PHY.ELE.01,25,16,0.64,0.027639,0.026279,2,2002,2026
PHY,PHY.ELE.02,25,25,1.0,0.057562,0.036739,0,2002,2026
PHY,PHY.ELE.03,25,20,0.8,0.043576,0.036482,1,2002,2026
PHY,PHY.ELE.04,25,22,0.88,0.043389,0.031074,1,2002,2026
PHY,PHY.ELE.05,25,25,1.0,0.127966,0.055556,0,2002,2026
PHY,PHY.ELE.06,25,19,0.76,0.042461,0.033858,2,2002,2024
PHY,PHY.ELE.07,25,14,0.56,0.021909,0.020464,4,2003,2025
PHY,PHY.ELE.08,25,19,0.76,0.047038,0.039129,1,2002,2026
PHY,PHY.ELE.09,25,23,0.92,0.085411,0.046452,1,2002,2026
PHY,PHY.MOD.01,25,12,0.48,0.01633,0.019394,5,2003,2026
PHY,PHY.MOD.02,25,24,0.96,0.062401,0.037032,1,2002,2026
PHY,PHY.MOD.03,25,10,0.4,0.019545,0.029564,4,2002,2024
PHY,PHY.MOD.04,25,15,0.6,0.02993,0.033035,4,2002,2024
PHY,PHY.MOD.05,25,24,0.96,0.084858,0.04277,0,2003,2026
PHY,PHY.MOD.06,25,21,0.84,0.052157,0.039211,1,2002,2025
PHY,PHY.PAR.01,25,23,0.92,0.054996,0.030588,1,2002,2026
PHY,PHY.PAR.02,25,22,0.88,0.043911,0.025751,2,2002,2026
PHY,PHY.APE.01,25,22,0.88,0.091527,0.059165,1,2002,2026
