dataset,topic_id,sittings_present,appearance_count,appearance_rate,mean_share,sd_share,longest_gap_sittings,first_year,last_year
PM,PM.PRB.01,13,7,0.5385,0.01789,0.013001,3,2014,2025
PM,PM.PRB.02,13,13,1.0,0.069196,0.026272,0,2014,2026
PM,PM.PRB.03,13,13,1.0,0.051667,0.038422,0,2014,2026
PM,PM.STA.01,13,1,0.0769,0.002914,0.00682,0,2014,2014
PM,PM.STA.02,13,8,0.6154,0.030973,0.027046,3,2014,2026
PM,PM.STA.03,13,13,1.0,0.037471,0.013188,0,2014,2026
PM,PM.GEO.01,13,12,0.9231,0.049143,0.028204,1,2014,2026
PM,PM.GEO.02,13,13,1.0,0.055962,0.022165,0,2014,2026
PM,PM.GEO.03,13,12,0.9231,0.044633,0.021081,1,2014,2026
PM,PM.GEO.04,13,13,1.0,0.114272,0.035675,0,2014,2026
PM,PM.GEO.05,13,13,1.0,0.063893,0.027949,0,2014,2026
PM,PM.GEO.06,13,2,0.1538,0.006218,0.007822,0,2025,2026
PM,PM.NUM.01,13,9,0.6923,0.026894,0.022039,1,2014,2026
PM,PM.NUM.02,13,12,0.9231,0.074178,0.040829,1,2014,2026
PM,PM.NUM.03,13,11,0.8462,0.041195,0.031098,1,2014,2026
PM,PM.NUM.04,13,11,0.8462,0.038631,0.026581,1,2014,2026
PM,PM.NUM.05,13,12,0.9231,0.044977,0.022725,0,2015,2026
PM,PM.ALG.01,13,11,0.8462,0.052809,0.026789,1,2014,2026
PM,PM.ALG.02,13,13,1.0,0.098176,0.043291,0,2014,2026
PM,PM.ALG.03,13,3,0.2308,0.009068,0.007457,2,2021,2025
PM,PM.ALG.04,13,13,1.0,0.045927,0.016216,0,2014,2026
PM,PM.FUN.01,13,13,1.0,0.053059,0.020611,0,2014,2026
PM,PM.FUN.02,13,13,1.0,0.071428,0.028929,0,2014,2026
PM,PM.FUN.03,13,12,0.9231,0.05345,0.028334,1,2014,2026
PM,PM.FUN.04,13,13,1.0,0.041329,0.0178,0,2014,2026
