dataset,topic_id,sittings_present,appearance_count,appearance_rate,mean_share,sd_share,longest_gap_sittings,first_year,last_year
PMT,PM.PRB.01,2,0,0.0,0.0025,0.0025,2,,
PMT,PM.PRB.02,2,2,1.0,0.050833,0.0025,0,2012,2013
PMT,PM.PRB.03,2,2,1.0,0.059167,0.0175,0,2012,2013
PMT,PM.STA.01,2,2,1.0,0.020833,0.004167,0,2012,2013
PMT,PM.STA.02,2,2,1.0,0.045833,0.0125,0,2012,2013
PMT,PM.STA.03,2,2,1.0,0.029167,0.004167,0,2012,2013
PMT,PM.GEO.01,2,2,1.0,0.1,0.016667,0,2012,2013
PMT,PM.GEO.02,2,2,1.0,0.037917,0.007083,0,2012,2013
PMT,PM.GEO.03,2,2,1.0,0.085833,0.0275,0,2012,2013
PMT,PM.GEO.04,2,2,1.0,0.107917,0.000417,0,2012,2013
PMT,PM.GEO.05,2,0,0.0,0.005833,0.004167,2,,
PMT,PM.GEO.06,2,0,0.0,0.0,0.0,2,,
PMT,PM.NUM.01,2,1,0.5,0.023333,0.023333,0,2012,2012
PMT,PM.NUM.02,2,2,1.0,0.064167,0.005833,0,2012,2013
PMT,PM.NUM.03,2,2,1.0,0.033333,0.016667,0,2012,2013
PMT,PM.NUM.04,2,1,0.5,0.031667,0.031667,0,2013,2013
PMT,PM.NUM.05,2,1,0.5,0.008333,0.008333,0,2013,2013
PMT,PM.ALG.01,2,2,1.0,0.078333,0.056667,0,2012,2013
PMT,PM.ALG.02,2,2,1.0,0.063333,0.016667,0,2012,2013
PMT,PM.ALG.03,2,1,0.5,0.015833,0.009167,0,2012,2012
PMT,PM.ALG.04,2,2,1.0,0.045833,0.004167,0,2012,2013
PMT,PM.FUN.01,2,1,0.5,0.016667,0.016667,0,2013,2013
PMT,PM.FUN.02,2,2,1.0,0.090833,0.0075,0,2012,2013
PMT,PM.FUN.03,2,2,1.0,0.05,0.025,0,2012,2013
PMT,PM.FUN.04,2,2,1.0,0.049167,0.010833,0,2012,2013
