dataset,year,sitting_type,topic_id,offered_marks,max_score,share,appears,appears_0p75,appears_3p0
AM2,2023,main,AM2.MOD.01,25.0,400,0.0625,1,1,1
AM2,2023,main,AM2.NET.01,20.0,400,0.05,1,1,1
AM2,2023,main,AM2.NET.02,0.0,400,0.0,0,0,0
AM2,2023,main,AM2.NET.03,25.0,400,0.0625,1,1,1
AM2,2023,main,AM2.NET.04,20.0,400,0.05,1,1,1
AM2,2023,main,AM2.NET.05,0.0,400,0.0,0,0,0
AM2,2023,main,AM2.NET.06,0.0,400,0.0,0,0,0
AM2,2023,main,AM2.NET.07,50.0,400,0.125,1,1,1
AM2,2023,main,AM2.KIN.01,25.0,400,0.0625,1,1,1
AM2,2023,main,AM2.KIN.02,30.0,400,0.075,1,1,1
AM2,2023,main,AM2.KIN.03,15.0,400,0.0375,1,1,1
AM2,2023,main,AM2.KIN.04,45.0,400,0.1125,1,1,1
AM2,2023,main,AM2.DYN.01,4.5,400,0.01125,0,1,0
AM2,2023,main,AM2.DYN.02,20.5,400,0.05125,1,1,1
AM2,2023,main,AM2.DYN.03,30.0,400,0.075,1,1,1
AM2,2023,main,AM2.DYN.04,13.0,400,0.0325,1,1,1
AM2,2023,main,AM2.DYN.05,0.0,400,0.0,0,0,0
AM2,2023,main,AM2.DYN.06,60.0,400,0.15,1,1,1
AM2,2023,main,AM2.DYN.07,0.0,400,0.0,0,0,0
AM2,2023,main,AM2.DIF.01,24.5,400,0.06125,1,1,1
AM2,2023,main,AM2.DIF.02,55.5,400,0.13875,1,1,1
AM2,2023,main,AM2.DEQ.01,7.0,400,0.0175,1,1,0
AM2,2023,main,AM2.DEQ.02,30.0,400,0.075,1,1,1
AM2,2024,main,AM2.MOD.01,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.NET.01,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.NET.02,10.0,400,0.025,1,1,0
AM2,2024,main,AM2.NET.03,40.0,400,0.1,1,1,1
AM2,2024,main,AM2.NET.04,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.NET.05,50.0,400,0.125,1,1,1
AM2,2024,main,AM2.NET.06,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.NET.07,30.0,400,0.075,1,1,1
AM2,2024,main,AM2.KIN.01,30.0,400,0.075,1,1,1
AM2,2024,main,AM2.KIN.02,35.0,400,0.0875,1,1,1
AM2,2024,main,AM2.KIN.03,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.KIN.04,20.0,400,0.05,1,1,1
AM2,2024,main,AM2.DYN.01,40.0,400,0.1,1,1,1
AM2,2024,main,AM2.DYN.02,30.0,400,0.075,1,1,1
AM2,2024,main,AM2.DYN.03,40.0,400,0.1,1,1,1
AM2,2024,main,AM2.DYN.04,5.0,400,0.0125,0,1,0
AM2,2024,main,AM2.DYN.05,5.0,400,0.0125,0,1,0
AM2,2024,main,AM2.DYN.06,25.0,400,0.0625,1,1,1
AM2,2024,main,AM2.DYN.07,0.0,400,0.0,0,0,0
AM2,2024,main,AM2.DIF.01,10.0,400,0.025,1,1,0
AM2,2024,main,AM2.DIF.02,65.0,400,0.1625,1,1,1
AM2,2024,main,AM2.DEQ.01,3.0,400,0.0075,0,1,0
AM2,2024,main,AM2.DEQ.02,62.0,400,0.155,1,1,1
AM2,2025,main,AM2.MOD.01,25.0,400,0.0625,1,1,1
AM2,2025,main,AM2.NET.01,0.0,400,0.0,0,0,0
AM2,2025,main,AM2.NET.02,20.0,400,0.05,1,1,1
AM2,2025,main,AM2.NET.03,25.0,400,0.0625,1,1,1
AM2,2025,main,AM2.NET.04,15.0,400,0.0375,1,1,1
AM2,2025,main,AM2.NET.05,25.0,400,0.0625,1,1,1
AM2,2025,main,AM2.NET.06,0.0,400,0.0,0,0,0
AM2,2025,main,AM2.NET.07,0.0,400,0.0,0,0,0
AM2,2025,main,AM2.KIN.01,24.5,400,0.06125,1,1,1
AM2,2025,main,AM2.KIN.02,20.0,400,0.05,1,1,1
AM2,2025,main,AM2.KIN.03,10.0,400,0.025,1,1,0
AM2,2025,main,AM2.KIN.04,35.0,400,0.0875,1,1,1
AM2,2025,main,AM2.DYN.01,40.5,400,0.10125,1,1,1
AM2,2025,main,AM2.DYN.02,25.0,400,0.0625,1,1,1
AM2,2025,main,AM2.DYN.03,42.5,400,0.10625,1,1,1
AM2,2025,main,AM2.DYN.04,0.0,400,0.0,0,0,0
AM2,2025,main,AM2.DYN.05,32.5,400,0.08125,1,1,1
AM2,2025,main,AM2.DYN.06,35.0,400,0.0875,1,1,1
AM2,2025,main,AM2.DYN.07,0.0,400,0.0,0,0,0
AM2,2025,main,AM2.DIF.01,5.0,400,0.0125,0,1,0
AM2,2025,main,AM2.DIF.02,50.0,400,0.125,1,1,1
AM2,2025,main,AM2.DEQ.01,10.0,400,0.025,1,1,0
AM2,2025,main,AM2.DEQ.02,45.0,400,0.1125,1,1,1
AM2,2026,main,AM2.MOD.01,10.0,400,0.025,1,1,0
AM2,2026,main,AM2.NET.01,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.NET.02,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.NET.03,15.0,400,0.0375,1,1,1
AM2,2026,main,AM2.NET.04,15.0,400,0.0375,1,1,1
AM2,2026,main,AM2.NET.05,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.NET.06,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.NET.07,70.0,400,0.175,1,1,1
AM2,2026,main,AM2.KIN.01,44.5,400,0.11125,1,1,1
AM2,2026,main,AM2.KIN.02,20.0,400,0.05,1,1,1
AM2,2026,main,AM2.KIN.03,16.0,400,0.04,1,1,1
AM2,2026,main,AM2.KIN.04,10.0,400,0.025,1,1,0
AM2,2026,main,AM2.DYN.01,12.5,400,0.03125,1,1,1
AM2,2026,main,AM2.DYN.02,25.5,400,0.06375,1,1,1
AM2,2026,main,AM2.DYN.03,54.0,400,0.135,1,1,1
AM2,2026,main,AM2.DYN.04,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.DYN.05,10.0,400,0.025,1,1,0
AM2,2026,main,AM2.DYN.06,32.5,400,0.08125,1,1,1
AM2,2026,main,AM2.DYN.07,0.0,400,0.0,0,0,0
AM2,2026,main,AM2.DIF.01,8.0,400,0.02,1,1,0
AM2,2026,main,AM2.DIF.02,52.0,400,0.13,1,1,1
AM2,2026,main,AM2.DEQ.01,10.0,400,0.025,1,1,0
AM2,2026,main,AM2.DEQ.02,95.0,400,0.2375,1,1,1
