dataset,year,sitting_type,topic_id,offered_marks,max_score,share,appears,appears_0p75,appears_3p0
PHY,2002,main,PHY.MEC.01,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.MEC.02,35.8,400,0.0895,1,1,1
PHY,2002,main,PHY.MEC.03,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.MEC.04,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.MEC.05,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.MEC.06,40.0,400,0.1,1,1,1
PHY,2002,main,PHY.MEC.07,54.2,400,0.1355,1,1,1
PHY,2002,main,PHY.MEC.08,13.0,400,0.0325,1,1,1
PHY,2002,main,PHY.TMP.01,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.HEA.01,37.2,400,0.093,1,1,1
PHY,2002,main,PHY.HEA.02,2.8,400,0.007,0,0,0
PHY,2002,main,PHY.WAV.01,44.0,400,0.11,1,1,1
PHY,2002,main,PHY.WAV.02,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.SND.01,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.SND.02,34.0,400,0.085,1,1,1
PHY,2002,main,PHY.LIG.01,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.LIG.02,6.0,400,0.015,1,1,0
PHY,2002,main,PHY.LIG.03,22.0,400,0.055,1,1,1
PHY,2002,main,PHY.LIG.04,19.0,400,0.0475,1,1,1
PHY,2002,main,PHY.LIG.05,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.ELE.01,25.2,400,0.063,1,1,1
PHY,2002,main,PHY.ELE.02,14.0,400,0.035,1,1,1
PHY,2002,main,PHY.ELE.03,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.ELE.04,49.1,400,0.12275,1,1,1
PHY,2002,main,PHY.ELE.05,55.1,400,0.13775,1,1,1
PHY,2002,main,PHY.ELE.06,23.6,400,0.059,1,1,1
PHY,2002,main,PHY.ELE.07,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.ELE.08,7.0,400,0.0175,1,1,0
PHY,2002,main,PHY.ELE.09,28.0,400,0.07,1,1,1
PHY,2002,main,PHY.MOD.01,0.0,400,0.0,0,0,0
PHY,2002,main,PHY.MOD.02,34.7,400,0.08675,1,1,1
PHY,2002,main,PHY.MOD.03,21.3,400,0.05325,1,1,1
PHY,2002,main,PHY.MOD.04,28.0,400,0.07,1,1,1
PHY,2002,main,PHY.MOD.05,0.0,400,0.0,0,0,0
