dataset,year,sitting_type,topic_id,offered_marks,max_score,share,appears,appears_0p75,appears_3p0
PM,2014,main,PM.PRB.01,10.0,600,0.016667,1,1,0
PM,2014,main,PM.PRB.02,25.0,600,0.041667,1,1,1
PM,2014,main,PM.PRB.03,10.0,600,0.016667,1,1,0
PM,2014,main,PM.STA.01,15.0,600,0.025,1,1,0
PM,2014,main,PM.STA.02,34.0,600,0.056667,1,1,1
PM,2014,main,PM.STA.03,20.0,600,0.033333,1,1,1
PM,2014,main,PM.GEO.01,65.0,600,0.108333,1,1,1
PM,2014,main,PM.GEO.02,44.0,600,0.073333,1,1,1
PM,2014,main,PM.GEO.03,35.0,600,0.058333,1,1,1
PM,2014,main,PM.GEO.04,30.0,600,0.05,1,1,1
PM,2014,main,PM.GEO.05,36.0,600,0.06,1,1,1
PM,2014,main,PM.GEO.06,5.0,600,0.008333,0,1,0
PM,2014,main,PM.NUM.01,16.0,600,0.026667,1,1,0
PM,2014,main,PM.NUM.02,30.0,600,0.05,1,1,1
PM,2014,main,PM.NUM.03,20.0,600,0.033333,1,1,1
PM,2014,main,PM.NUM.04,12.0,600,0.02,1,1,0
PM,2014,main,PM.NUM.05,0.0,600,0.0,0,0,0
PM,2014,main,PM.ALG.01,52.0,600,0.086667,1,1,1
PM,2014,main,PM.ALG.02,30.0,600,0.05,1,1,1
PM,2014,main,PM.ALG.03,0.0,600,0.0,0,0,0
PM,2014,main,PM.ALG.04,15.0,600,0.025,1,1,0
PM,2014,main,PM.FUN.01,32.0,600,0.053333,1,1,1
PM,2014,main,PM.FUN.02,32.5,600,0.054167,1,1,1
PM,2014,main,PM.FUN.03,21.5,600,0.035833,1,1,1
PM,2014,main,PM.FUN.04,35.0,600,0.058333,1,1,1
PM,2015,main,PM.PRB.01,4.5,600,0.0075,0,1,0
PM,2015,main,PM.PRB.02,66.5,600,0.110833,1,1,1
PM,2015,main,PM.PRB.03,15.0,600,0.025,1,1,0
PM,2015,main,PM.STA.01,0.0,600,0.0,0,0,0
PM,2015,main,PM.STA.02,0.0,600,0.0,0,0,0
PM,2015,main,PM.STA.03,25.0,600,0.041667,1,1,1
PM,2015,main,PM.GEO.01,29.5,600,0.049167,1,1,1
PM,2015,main,PM.GEO.02,25.0,600,0.041667,1,1,1
PM,2015,main,PM.GEO.03,25.0,600,0.041667,1,1,1
PM,2015,main,PM.GEO.04,72.5,600,0.120833,1,1,1
PM,2015,main,PM.GEO.05,56.0,600,0.093333,1,1,1
PM,2015,main,PM.GEO.06,6.0,600,0.01,0,1,0
PM,2015,main,PM.NUM.01,5.0,600,0.008333,0,1,0
PM,2015,main,PM.NUM.02,37.0,600,0.061667,1,1,1
PM,2015,main,PM.NUM.03,0.0,600,0.0,0,0,0
PM,2015,main,PM.NUM.04,30.0,600,0.05,1,1,1
PM,2015,main,PM.NUM.05,17.0,600,0.028333,1,1,0
PM,2015,main,PM.ALG.01,25.5,600,0.0425,1,1,1
PM,2015,main,PM.ALG.02,30.5,600,0.050833,1,1,1
PM,2015,main,PM.ALG.03,0.0,600,0.0,0,0,0
PM,2015,main,PM.ALG.04,18.0,600,0.03,1,1,1
PM,2015,main,PM.FUN.01,19.0,600,0.031667,1,1,1
PM,2015,main,PM.FUN.02,41.0,600,0.068333,1,1,1
PM,2015,main,PM.FUN.03,25.0,600,0.041667,1,1,1
PM,2015,main,PM.FUN.04,27.0,600,0.045,1,1,1
PM,2016,main,PM.PRB.01,10.0,600,0.016667,1,1,0
PM,2016,main,PM.PRB.02,32.0,600,0.053333,1,1,1
PM,2016,main,PM.PRB.03,15.0,600,0.025,1,1,0
PM,2016,main,PM.STA.01,0.0,600,0.0,0,0,0
PM,2016,main,PM.STA.02,0.0,600,0.0,0,0,0
PM,2016,main,PM.STA.03,35.0,600,0.058333,1,1,1
PM,2016,main,PM.GEO.01,25.0,600,0.041667,1,1,1
PM,2016,main,PM.GEO.02,35.0,600,0.058333,1,1,1
PM,2016,main,PM.GEO.03,15.0,600,0.025,1,1,0
PM,2016,main,PM.GEO.04,61.0,600,0.101667,1,1,1
PM,2016,main,PM.GEO.05,60.0,600,0.1,1,1,1
PM,2016,main,PM.GEO.06,5.0,600,0.008333,0,1,0
PM,2016,main,PM.NUM.01,15.0,600,0.025,1,1,0
PM,2016,main,PM.NUM.02,55.0,600,0.091667,1,1,1
PM,2016,main,PM.NUM.03,28.0,600,0.046667,1,1,1
PM,2016,main,PM.NUM.04,15.0,600,0.025,1,1,0
PM,2016,main,PM.NUM.05,11.0,600,0.018333,1,1,0
PM,2016,main,PM.ALG.01,7.0,600,0.011667,0,1,0
PM,2016,main,PM.ALG.02,47.0,600,0.078333,1,1,1
PM,2016,main,PM.ALG.03,6.0,600,0.01,0,1,0
PM,2016,main,PM.ALG.04,25.0,600,0.041667,1,1,1
PM,2016,main,PM.FUN.01,25.0,600,0.041667,1,1,1
PM,2016,main,PM.FUN.02,32.5,600,0.054167,1,1,1
PM,2016,main,PM.FUN.03,30.5,600,0.050833,1,1,1
PM,2016,main,PM.FUN.04,10.0,600,0.016667,1,1,0
PM,2017,main,PM.PRB.01,2.0,600,0.003333,0,0,0
