dataset,year,sitting_type,topic_id,offered_marks,max_score,share,appears,appears_0p75,appears_3p0
PMT,2012,main,PM.PRB.01,0.0,600,0.0,0,0,0
PMT,2012,main,PM.PRB.02,29.0,600,0.048333,1,1,1
PMT,2012,main,PM.PRB.03,46.0,600,0.076667,1,1,1
PMT,2012,main,PM.STA.01,10.0,600,0.016667,1,1,0
PMT,2012,main,PM.STA.02,20.0,600,0.033333,1,1,1
PMT,2012,main,PM.STA.03,20.0,600,0.033333,1,1,1
PMT,2012,main,PM.GEO.01,50.0,600,0.083333,1,1,1
PMT,2012,main,PM.GEO.02,27.0,600,0.045,1,1,1
PMT,2012,main,PM.GEO.03,68.0,600,0.113333,1,1,1
PMT,2012,main,PM.GEO.04,65.0,600,0.108333,1,1,1
PMT,2012,main,PM.GEO.05,6.0,600,0.01,0,1,0
PMT,2012,main,PM.GEO.06,0.0,600,0.0,0,0,0
PMT,2012,main,PM.NUM.01,28.0,600,0.046667,1,1,1
PMT,2012,main,PM.NUM.02,42.0,600,0.07,1,1,1
PMT,2012,main,PM.NUM.03,10.0,600,0.016667,1,1,0
PMT,2012,main,PM.NUM.04,0.0,600,0.0,0,0,0
PMT,2012,main,PM.NUM.05,0.0,600,0.0,0,0,0
PMT,2012,main,PM.ALG.01,81.0,600,0.135,1,1,1
PMT,2012,main,PM.ALG.02,28.0,600,0.046667,1,1,1
PMT,2012,main,PM.ALG.03,15.0,600,0.025,1,1,0
PMT,2012,main,PM.ALG.04,30.0,600,0.05,1,1,1
PMT,2012,main,PM.FUN.01,0.0,600,0.0,0,0,0
PMT,2012,main,PM.FUN.02,59.0,600,0.098333,1,1,1
PMT,2012,main,PM.FUN.03,45.0,600,0.075,1,1,1
PMT,2012,main,PM.FUN.04,36.0,600,0.06,1,1,1
PMT,2013,main,PM.PRB.01,3.0,600,0.005,0,0,0
PMT,2013,main,PM.PRB.02,32.0,600,0.053333,1,1,1
PMT,2013,main,PM.PRB.03,25.0,600,0.041667,1,1,1
PMT,2013,main,PM.STA.01,15.0,600,0.025,1,1,0
PMT,2013,main,PM.STA.02,35.0,600,0.058333,1,1,1
PMT,2013,main,PM.STA.03,15.0,600,0.025,1,1,0
PMT,2013,main,PM.GEO.01,70.0,600,0.116667,1,1,1
PMT,2013,main,PM.GEO.02,18.5,600,0.030833,1,1,1
PMT,2013,main,PM.GEO.03,35.0,600,0.058333,1,1,1
PMT,2013,main,PM.GEO.04,64.5,600,0.1075,1,1,1
PMT,2013,main,PM.GEO.05,1.0,600,0.001667,0,0,0
PMT,2013,main,PM.GEO.06,0.0,600,0.0,0,0,0
PMT,2013,main,PM.NUM.01,0.0,600,0.0,0,0,0
PMT,2013,main,PM.NUM.02,35.0,600,0.058333,1,1,1
PMT,2013,main,PM.NUM.03,30.0,600,0.05,1,1,1
PMT,2013,main,PM.NUM.04,38.0,600,0.063333,1,1,1
PMT,2013,main,PM.NUM.05,10.0,600,0.016667,1,1,0
PMT,2013,main,PM.ALG.01,13.0,600,0.021667,1,1,0
PMT,2013,main,PM.ALG.02,48.0,600,0.08,1,1,1
PMT,2013,main,PM.ALG.03,4.0,600,0.006667,0,0,0
PMT,2013,main,PM.ALG.04,25.0,600,0.041667,1,1,1
PMT,2013,main,PM.FUN.01,20.0,600,0.033333,1,1,1
PMT,2013,main,PM.FUN.02,50.0,600,0.083333,1,1,1
PMT,2013,main,PM.FUN.03,15.0,600,0.025,1,1,0
PMT,2013,main,PM.FUN.04,23.0,600,0.038333,1,1,1
